arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_02_02_2026_B1_TJRN_ACAO_IMPROBIDADE_SERVIDOR_DETRAN_CABECA.mp3,CABECA,OK,7.35,Justiça,Escola.,,,-120.0,-32.9,0,0,ok
BOLETIM_RADIO_TJRN_02_02_2026_B2_TJRN_CRESCIMENTO_CAMARA_CRIMINAL__CABECA.mp3,CABECA,CORTADO,61.01,Com,Norte.,"energia de fala na borda final (-17.5 dBFS, piso -30.6); inicia com conectivo isolado: 'Com'",,-120.0,-17.5,0,0,ok
BOLETIM_RADIO_TJRN_02_02_2026_B6_TJRN_CONDENA_HOMEM_MAUS_TRATOS_CABECA.mp3,CABECA,CORTADO,4.62,Justiça,Portugal.,"energia de fala na borda final (-13.2 dBFS, piso -33.8)",,-47.6,-13.2,0,0,ok
BOLETIM_RADIO_TJRN_02_02_2026_B8_TJRN_INCONSTITUCIONALIDADE_LEI_ENEM__CABECA.mp3,CABECA,OK,7.94,declarada,vestibulares.,,,-63.9,-30.4,0,0,ok
BOLETIM_RADIO_TJRN_02_03_2026_B1_TRERN_ADQUIRE_NOVAS_CADEIRAS__CABECA.mp3,CABECA,OK,4.85,Guiril,sede.,,,-33.3,-22.9,0,0,ok
BOLETIM_RADIO_TJRN_02_03_2026_B3_SUSPENSAO_DESCONTO_PENSAO_CABECA.mp3,CABECA,OK,5.25,Suspensão,decisão.,,,-120.0,-33.3,0,0,ok
BOLETIM_RADIO_TJRN_02_03_2026_B5_LICENCA_REMUNERADA_JOAO_CAMARA_CABECA.mp3,CABECA,OK,9.5,Justiça,social.,,,-120.0,-44.4,0,0,ok
BOLETIM_RADIO_TJRN_02_03_2026_B6_CONDENACAO_EXTRAVIO_BAGAGEM_CABECA.mp3,CABECA,OK,3.86,O,Ferros,,,-54.2,-18.4,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B2_TJRN_IA_ROTINAS_PRESTACAO_JURISDICIONAL_CABECA.mp3,CABECA,OK,6.74,tecnologias,ano.,,,-34.0,-26.7,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B3_VARA_CRIMINAL_ESTAGIO__CABECA.mp3,CABECA,OK,7.8,de,natal.,,,-31.7,-36.7,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B4_TJRN_COMARCA_EXTREMOZ_DEMANDAS_JUDICIAIS__CABECA.mp3,CABECA,OK,7.33,"Cordo,",extremos.,,,-66.2,-56.9,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B5_TRERN_CANAL_RECEBIMENTO_DENUNCIAS__CABECA.mp3,CABECA,OK,6.43,Crimes,eleitoral.,,,-26.6,-46.3,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B2_CONVENIO_DEBITO_PRECATORIOS_CABECA.mp3,CABECA,OK,15.45,O,precatórios.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B3_CONDENACAO_FABRICANTE_PNEUS_CABECA.mp3,CABECA,OK,17.69,O,pneus.,,,-120.0,-52.2,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B7_CONDENACAO_RESPONSABILIDADE_SOLIDARIA_CABECA.mp3,CABECA,OK,12.22,O,morais.,,,-60.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B9_PAGAMENTO_PASSAGENS_INTERMUNICIPAL_CABECA.mp3,CABECA,OK,7.16,Justiça,excepcionais.,,,-84.3,-32.4,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B1_CONVOCACAO_JUIZES_LEIGOS_JUIZADOS_CABECA.mp3,CABECA,OK,7.33,profissionais,estado.,,,-24.9,-46.0,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B2_DOACAO_LIVROS_SISTEMA_PRISIONAL_CABECA.mp3,CABECA,OK,6.48,Pontos,capital.,,,-34.1,-58.9,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B3_MANUAL_DE_GESTAO_PROCESSUAL_CABECA.mp3,CABECA,OK,6.08,da,rápido.,,,-31.5,-45.1,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B5_CONDENACAO_ROUBO_POLICIAL_MACAIBA_CABECA.mp3,CABECA,OK,6.6,Dois,prisão.,,,-32.1,-48.4,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B10_MPRN_FIRMA_ACORDO_INTERINSTITUCIONAL__CABECA.mp3,CABECA,OK,8.01,MPRN,adolescentes.,,,-53.0,-29.2,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B6_PENAS_PECUNIARIAS_CANGUARETAMA_CABECA.mp3,CABECA,OK,6.29,Penas,sociais.,,,-51.4,-34.7,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B7_TRTRN_SOCIO_RESPONSABILIZADO__CABECA.mp3,CABECA,OK,6.27,Sócio,empresa.,,,-50.8,-34.7,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B9_CNJ_NOTA_TECNICA_COMBATE_FALSO_ADVOGADO__CABECA.mp3,CABECA,OK,8.35,CNJ,advogado.,,,-50.8,-37.5,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B1_TJRN_VISITA_ALUNOS_UFRN__CABECA.mp3,CABECA,OK,13.05,O,Estado.,,,-71.2,-45.0,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B5_RESTITUICAO_FALHA_PRODUTO_CABECA.mp3,CABECA,OK,13.4,O,pintor.,,,-72.2,-50.1,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B6_MAIO_TECNOLOGICO_CABECA.mp3,CABECA,OK,7.16,O,tecnológico.,,,-47.3,-44.4,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B7_IPTU_NATAL_TAXA_SELIC_CABECA.mp3,CABECA,OK,9.55,A,atualização.,,,-52.1,-54.5,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B2_TJRN_MORADOR_MOSSORO_TRATAMENTO_MEDICO__CABECA.mp3,CABECA,OK,5.68,realizar,quilômetros.,,,-43.8,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B3_TJRN_CONDENA_EX_ASSESSORA_IMPROBIDADE_CABECA.mp3,CABECA,OK,11.97,Uma,Fantasma.,,,-28.0,-30.9,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B4_TJRN_HOMEM_CONDENADO_ROUBO__CABECA.mp3,CABECA,CORTADO,1.86,A,homem,inicia com conectivo isolado: 'A'; CABEÇA muito curta (1.9s) — provável corte no início da manchete,,-28.0,-18.3,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B5_TJRN_REDE_SOCIAL_CONTA_PERFIL_CABECA.mp3,CABECA,OK,7.44,Foi,explicação.,,,-44.1,-60.8,0,0,ok
BOLETIM_RADIO_TJRN_05_03_2026_B1_TJRN_ATO_IMPROBIDADE_LICITATORIO__CABECA.mp3,CABECA,OK,13.47,A,Parnamirim.,,,-65.7,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_05_03_2026_B5_TJRN_HOMEM_CONDENADO_ESTELIONATO_CABECA.mp3,CABECA,OK,10.39,Ao,público.,,,-63.1,-43.1,0,0,ok
BOLETIM_RADIO_TJRN_05_03_2026_B8_DPERN_JARDIM_PRIMAVERA__CABECA.mp3,CABECA,OK,7.91,The,Natal.,,,-120.0,-31.6,0,0,ok
BOLETIM_RADIO_TJRN_05_03_2026_B9_TRTRN_ASSISTENTE_VIRTUAL_CABECA.mp3,CABECA,OK,8.24,O,SHETJT.,,,-69.5,-84.3,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B2_POLICIAL_MILITAR_CONDENADO_TRIBUNAL_JURI_CABECA.mp3,CABECA,OK,6.88,O,prisão.,,,-84.3,-21.8,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B3_INDENIZACAO_ALAGAMENTO_CHUVAS_CABECA.mp3,CABECA,OK,10.32,O,imóvel.,,,-67.4,-45.9,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B4_CONDENACAO_ENTREGA_ERRADA_CABECA.mp3,CABECA,OK,11.01,A,ação.,,,-120.0,-51.0,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B6_DADOS_PORTAL_TRANSPARENCIA_CABECA.mp3,CABECA,OK,6.42,Justiça,transparência.,,,-120.0,-19.8,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B10_TJRN_EMPRESA_TRANSPORTE_CONDENADA_CABECA.mp3,CABECA,OK,9.37,Uma,ônibus.,,,-29.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B6_ESMARN_CURSO_INTELIGENCIA_ARTIFICIAL__CABECA.mp3,CABECA,OK,11.26,Uma,servidores.,,,-31.7,-30.7,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B7_TJRN_IDOSA_CAPITALIZACAO__CABECA.mp3,CABECA,OK,7.15,devido,estado.,,,-40.4,-53.9,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B9_TJRN_CUSTO_OBRAS_ACESSIBILIDADE_CABECA.mp3,CABECA,OK,4.38,Custo,Estado.,,,-30.3,-21.2,0,0,ok
BOLETIM_RADIO_TJRN_06_03_2026_B1_TJRN_DETERMINA_RESTITUICAO_DOBRO_CABECA.mp3,CABECA,OK,15.65,O,consumidor.,,,-63.9,-43.7,0,0,ok
BOLETIM_RADIO_TJRN_06_03_2026_B2_TJRN_VALOR_COPARTICIPACAO__CABECA.mp3,CABECA,OK,6.31,Falou,tratamentos.,,,-120.0,-32.8,0,0,ok
